day,all_feats_rolling_avg,all_feats,buildings_rolling_avg,buildings,highways_rolling_avg,highways,amenities_rolling_avg,amenities,users_rolling_avg,users,chapters_rolling_avg,chapters
2015-01-01,110.0,110,15.0,15,74.0,74,9.0,9,3.0,3,3.0,3
2015-01-02,100.5,91,47.5,80,39.5,5,6.0,3,2.0,1,2.0,1
2015-01-03,116.66666666666667,149,44.0,37,40.0,41,7.0,9,2.0,2,2.0,2
2015-01-04,93.25,23,34.5,6,30.75,3,5.75,2,2.25,3,2.25,3
2015-01-05,85.8,56,27.6,0,35.4,54,4.8,1,2.0,1,2.0,1
2015-01-06,77.5,36,23.166666666666668,1,33.833333333333336,26,4.166666666666667,1,1.8333333333333333,1,1.8333333333333333,1
2015-01-07,78.42857142857143,84,21.714285714285715,13,37.57142857142857,60,3.857142857142857,2,1.8571428571428572,2,1.8571428571428572,2
2015-01-08,68.75,1,19.0,0,32.875,0,3.375,0,1.75,1,1.75,1
2015-01-09,73.75,150,31.125,112,25.125,12,2.25,0,1.625,2,1.625,2
2015-01-10,70.625,66,22.875,14,29.75,42,1.875,0,1.625,1,1.625,1
2015-01-11,75.875,191,39.125,167,26.5,15,0.75,0,1.5,1,1.5,1
2015-01-12,75.625,21,40.0,13,26.75,5,0.75,2,1.375,2,1.25,1
2015-01-13,101.875,266,51.25,90,40.125,161,1.0,3,1.75,4,1.5,3
2015-01-14,104.75,59,55.375,34,39.75,23,0.875,0,2.0,3,1.75,3
2015-01-15,100.0,46,54.5,6,35.25,24,0.875,2,1.875,1,1.625,1
2015-01-16,124.625,198,63.125,69,42.875,61,3.375,20,2.125,3,1.875,3
2015-01-17,109.625,30,50.25,9,43.0,13,4.125,6,2.125,2,1.875,2
2015-01-18,117.5,129,52.25,30,44.75,56,5.0,7,2.375,3,2.125,3
2015-01-19,123.75,241,38.625,58,65.0,177,5.25,2,2.5,2,2.25,2
2015-01-20,128.625,60,42.125,41,65.5,9,5.375,3,2.75,4,2.5,3
2015-01-21,124.375,232,49.5,149,50.125,38,8.875,31,2.75,4,2.625,4
2015-01-22,184.375,539,70.5,202,67.625,163,8.875,0,3.125,6,3.0,6
2015-01-23,201.375,182,73.5,30,82.125,140,8.875,2,3.625,5,3.375,4
2015-01-24,217.625,328,75.125,82,93.125,149,6.375,0,3.75,4,3.5,4
2015-01-25,238.625,198,83.0,72,105.375,111,5.625,0,3.875,3,3.625,3
2015-01-26,228.375,47,80.875,13,98.375,0,5.375,5,4.0,4,3.75,4
2015-01-27,252.0,430,106.625,264,90.375,113,6.25,9,4.25,4,4.0,4
2015-01-28,249.125,37,102.375,7,92.0,22,6.125,2,4.25,4,3.875,2
2015-01-29,221.25,9,83.875,1,87.625,3,2.5,2,4.0,2,3.625,2
2015-01-30,161.25,59,58.75,1,71.125,31,4.375,15,3.375,1,3.0,1
2015-01-31,138.75,2,55.125,1,53.75,1,4.125,0,3.0,2,2.75,2
2015-02-01,99.25,12,44.875,0,36.375,10,4.125,0,2.625,1,2.375,1
2015-02-02,80.75,50,35.875,0,28.625,49,4.125,0,2.5,2,2.25,2
2015-02-03,79.25,35,34.25,0,28.625,0,5.25,14,2.125,1,1.875,1
2015-02-04,25.5,0,1.25,0,14.5,0,4.125,0,1.75,1,1.5,1
2015-02-05,38.25,139,8.25,63,14.0,18,7.875,32,1.625,3,1.375,1
2015-02-06,60.25,185,27.375,154,16.25,21,8.125,4,2.0,5,1.5,3
2015-02-08,57.5,37,29.0,14,12.375,0,6.5,2,2.0,1,1.5,1
2015-02-09,62.75,44,31.25,19,15.375,25,6.5,0,2.0,2,1.5,2
2015-02-10,62.75,12,31.5,2,14.5,3,6.5,0,2.125,2,1.625,2
2015-02-11,84.125,221,57.75,210,9.375,8,6.5,0,2.5,5,1.75,3
2015-02-12,106.375,213,70.875,105,22.875,108,4.75,0,2.75,3,2.0,3
2015-02-13,119.625,106,81.25,83,25.75,23,4.75,0,2.875,2,2.125,2
2015-02-14,112.5,82,73.375,0,33.375,79,0.75,0,2.75,2,2.25,2
2015-02-16,90.0,5,54.25,1,30.75,0,0.25,0,2.375,2,2.125,2
2015-02-17,119.875,276,83.25,246,34.5,30,0.0,0,2.375,1,2.125,1
2015-02-18,216.375,816,170.5,717,43.5,97,0.25,2,2.5,3,2.125,2
2015-02-19,233.875,152,173.125,23,49.125,48,2.5,18,2.875,5,2.375,4
2015-02-20,251.625,363,172.5,205,66.875,150,2.625,1,2.75,4,2.375,3
2015-02-21,250.625,205,170.625,90,65.75,99,2.75,1,3.0,5,2.625,5
2015-02-22,273.75,291,193.75,268,65.0,17,2.75,0,2.875,1,2.5,1
2015-02-23,296.875,267,222.75,232,58.625,28,2.875,1,3.125,4,2.625,3
2015-02-24,342.75,372,263.5,327,63.25,37,2.875,0,3.625,6,2.625,2
2015-02-25,332.375,193,248.375,125,66.75,58,3.375,4,4.0,4,2.875,3
2015-02-26,250.5,161,169.875,89,60.625,48,4.375,10,4.25,5,3.25,5
2015-02-27,232.875,11,167.5,4,54.625,0,2.125,0,3.875,2,3.0,2
2015-02-28,196.375,71,147.625,46,37.875,16,2.5,4,3.875,4,3.125,4
2015-03-01,179.625,71,137.625,10,31.0,44,2.75,3,3.375,1,2.625,1
2015-03-02,143.375,1,104.125,0,28.875,0,2.875,1,3.375,1,2.625,1
2015-03-03,110.125,1,75.125,0,25.5,1,2.75,0,3.0,1,2.375,1
2015-03-04,67.75,33,34.25,0,24.5,29,3.0,2,2.5,2,2.375,2
2015-03-05,48.5,39,19.75,9,19.75,20,2.5,0,2.25,2,2.25,2
2015-03-06,74.0,365,40.25,253,25.75,96,1.25,0,2.5,7,2.125,4
2015-03-07,73.625,8,39.75,0,26.75,8,1.25,0,2.375,1,2.0,1
2015-03-08,65.125,3,34.0,0,24.875,1,1.0,2,2.25,3,1.875,3
2015-03-09,114.75,468,91.125,467,19.5,1,0.625,0,2.25,1,1.875,1
2015-03-10,163.125,388,137.375,370,21.0,12,0.5,0,2.5,3,2.0,2
2015-03-11,172.875,79,137.375,0,23.125,18,0.5,0,2.5,1,2.0,1
2015-03-12,191.875,185,155.125,142,24.375,39,0.5,2,2.875,5,2.25,4
2015-03-13,220.375,267,178.5,196,29.5,61,0.75,2,3.375,6,2.625,5
2015-03-14,178.625,31,147.0,1,19.875,19,0.875,1,2.75,2,2.375,2
2015-03-15,184.875,58,153.0,48,19.625,6,0.875,0,2.75,1,2.375,1
2015-03-17,185.125,5,153.0,0,19.5,0,0.625,0,2.5,1,2.125,1
2015-03-18,135.75,73,94.75,1,23.875,36,0.625,0,2.75,3,2.125,1
2015-03-19,97.125,79,48.875,3,31.25,71,0.875,2,3.125,6,2.25,3
2015-03-20,88.75,12,49.125,2,30.0,8,1.0,1,3.125,1,2.25,1
2015-03-21,68.125,20,32.125,6,26.375,10,0.875,1,2.625,1,1.875,1
2015-03-22,34.875,1,7.625,0,18.75,0,0.75,1,2.0,1,1.375,1
2015-03-23,32.625,13,7.75,2,17.25,7,0.625,0,2.25,4,1.375,2
2015-03-24,67.625,338,35.625,271,23.125,53,0.625,0,2.625,4,1.375,1
2015-03-25,73.0,48,37.875,18,25.625,20,1.25,5,3.0,4,1.625,3
2015-03-26,64.625,6,38.375,5,21.25,1,1.25,0,2.875,2,1.625,1
2015-03-27,61.625,55,39.25,10,12.375,0,1.0,0,2.5,3,1.5,2
2015-03-28,84.375,194,44.25,42,17.5,49,1.25,3,3.125,6,2.0,5
2015-03-29,93.5,93,43.625,1,27.0,86,1.625,4,3.375,3,2.25,3
2015-03-30,93.75,3,43.625,0,27.125,1,1.625,1,3.5,2,2.375,2
2015-03-31,100.875,70,50.375,56,27.875,13,1.75,1,3.375,3,2.375,2
2015-04-01,59.25,5,16.5,0,21.375,1,2.125,3,3.25,3,2.5,2
2015-04-02,75.25,176,30.875,133,23.5,37,2.0,4,3.125,3,2.5,3
2015-04-03,100.75,210,31.0,6,46.375,184,2.625,5,3.25,3,2.75,3
2015-04-04,96.875,24,30.125,3,48.125,14,2.625,0,3.125,2,2.75,2
2015-04-05,74.375,14,25.75,7,42.25,2,2.5,2,2.5,1,2.25,1
2015-04-06,110.375,381,63.75,305,40.75,74,2.0,0,2.375,2,2.0,1
2015-04-07,113.875,31,63.875,1,43.75,25,2.25,3,2.5,3,2.125,3
2015-04-08,140.625,284,91.875,280,42.5,3,2.125,0,2.5,3,2.125,2
2015-04-09,303.75,1310,185.125,746,61.5,153,1.875,1,3.25,9,2.75,7
2015-04-10,292.875,89,178.75,82,57.625,6,1.375,0,3.375,4,2.75,3
2015-04-12,274.125,60,178.0,0,36.375,14,4.125,27,3.125,1,2.5,1
2015-04-13,306.875,286,210.375,262,36.125,12,4.75,5,3.375,4,2.75,4
2015-04-14,317.25,97,214.0,36,41.375,44,5.0,4,3.75,4,2.875,2
2015-04-15,296.625,216,202.0,209,32.625,4,5.125,1,3.875,3,3.0,2
2015-04-16,315.125,179,224.25,179,29.5,0,4.875,1,3.75,2,2.875,2
2015-04-17,295.5,127,201.125,95,29.5,3,5.0,1,3.625,2,2.875,2
2015-04-18,142.25,84,108.375,4,14.0,29,5.125,2,2.75,2,2.25,2
2015-04-20,133.75,21,99.375,10,14.375,9,5.375,2,2.875,5,2.25,3
2015-04-21,135.125,71,99.5,1,18.75,49,3.75,14,2.875,1,2.25,1
2015-04-22,103.5,33,67.875,9,19.5,18,3.875,6,2.625,2,2.0,2
2015-04-23,132.125,326,91.0,221,19.0,40,5.125,14,2.75,5,2.125,3
2015-04-24,105.25,1,65.0,1,18.5,0,5.0,0,2.5,1,2.0,1
2015-04-25,102.0,153,48.25,45,31.375,103,5.125,2,3.125,7,2.375,5
2015-04-26,173.0,695,78.125,334,65.75,278,5.25,2,4.0,9,2.875,6
2015-04-27,194.375,255,79.5,15,81.625,156,5.0,0,4.5,6,3.125,4
2015-04-28,221.125,235,102.375,193,83.125,21,4.75,0,4.625,6,3.125,3
2015-04-29,437.75,1804,311.625,1675,88.375,91,3.125,1,5.875,11,3.75,6
2015-04-30,681.375,1982,537.625,1817,104.0,143,2.5,1,6.75,9,4.375,7
2015-05-01,723.25,661,561.0,408,128.5,236,0.75,0,6.75,5,4.375,3
2015-05-02,827.5,835,643.875,664,142.5,112,1.5,6,7.375,6,4.875,5
2015-05-03,855.625,378,666.375,225,147.625,144,1.25,0,7.25,6,4.875,5
2015-05-04,842.875,593,636.75,97,171.875,472,1.125,1,6.875,6,4.75,5
2015-05-05,849.25,306,639.375,36,180.5,225,2.625,12,7.125,8,4.875,5
2015-05-06,837.625,142,631.0,126,179.75,15,2.625,0,6.625,2,4.625,1
2015-05-07,644.0,255,434.125,100,186.25,143,2.75,2,5.75,4,4.25,3
2015-05-08,462.875,533,226.125,153,208.875,324,2.625,0,5.75,9,4.125,6
2015-05-09,524.125,1151,223.875,390,267.625,706,2.75,1,5.875,6,4.5,6
2015-05-10,516.25,772,230.875,720,259.125,44,2.0,0,5.5,3,4.25,3
2015-05-11,481.0,96,210.375,61,243.5,19,2.0,0,5.25,4,4.0,3
2015-05-12,445.375,308,218.0,158,187.875,27,2.0,1,5.125,5,3.75,3
2015-05-13,426.5,155,231.625,145,160.75,8,1.0,4,4.5,3,3.5,3
2015-05-14,476.0,538,251.25,283,182.75,191,1.625,5,5.375,9,4.25,7
2015-05-15,523.75,637,282.875,353,196.25,251,1.75,3,5.5,5,4.375,4
2015-05-16,482.625,204,286.875,185,157.25,12,1.75,0,4.625,2,3.875,2
2015-05-17,342.25,28,238.875,6,71.375,19,1.625,0,4.125,2,3.375,2
2015-05-18,268.75,184,168.125,154,68.0,17,2.0,3,4.25,4,3.5,4
2015-05-19,277.5,166,173.375,103,71.75,49,3.75,14,4.25,4,3.5,3
2015-05-20,294.75,446,198.625,360,72.125,30,4.5,7,4.625,8,3.75,5
2015-05-21,298.375,184,195.125,117,73.875,22,4.875,7,5.0,6,4.0,5
2015-05-22,247.625,132,170.125,83,54.5,36,4.375,1,4.5,5,3.625,4
2015-05-23,239.875,575,138.75,102,75.5,419,6.875,23,4.5,5,3.75,5
2015-05-24,239.875,204,122.25,53,78.375,35,7.0,1,4.875,5,4.125,5
2015-05-25,290.75,435,126.125,37,123.625,381,7.5,4,5.25,5,4.5,5
2015-05-26,286.625,151,115.125,66,128.0,52,8.625,12,5.125,3,4.375,3
2015-05-27,274.875,72,108.125,47,124.75,23,7.0,1,5.125,4,4.5,4
2015-05-28,230.75,93,63.125,0,123.875,23,6.125,0,4.625,4,4.375,4
2015-05-29,208.75,8,49.125,5,121.5,3,5.25,0,4.0,1,3.875,1
2015-05-30,204.375,97,43.625,39,118.375,11,8.375,26,3.875,4,3.875,4
2015-05-31,138.625,49,31.75,7,66.375,3,9.0,28,3.625,3,3.625,3
2015-06-01,127.25,113,38.75,109,62.125,1,9.125,2,3.375,3,3.375,3
2015-06-02,77.5,37,38.625,36,14.5,0,8.625,0,3.125,3,3.0,2
2015-06-03,79.625,168,50.5,161,8.375,3,7.125,0,3.125,3,3.0,3
2015-06-04,74.75,33,46.0,11,7.125,13,7.25,2,3.0,3,2.75,2
2015-06-05,71.125,64,53.5,60,4.25,0,7.875,5,3.0,4,2.625,3
2015-06-06,122.125,416,102.75,399,4.875,8,8.0,1,3.375,4,2.875,3
2015-06-07,170.625,485,157.75,479,3.625,1,5.0,2,3.25,3,2.625,2
2015-06-08,322.75,1266,298.375,1132,15.625,99,4.0,20,3.75,7,2.875,5
2015-06-09,309.875,10,284.75,0,16.625,9,3.75,0,3.625,2,2.75,2
2015-06-10,339.25,272,308.75,228,21.0,35,4.0,2,3.75,4,2.875,3
2015-06-11,344.625,211,298.625,80,33.75,105,5.0,8,3.875,4,3.0,4
2015-06-12,348.625,65,300.75,28,33.75,13,7.25,20,4.125,5,3.25,4
2015-06-13,374.5,271,311.0,142,42.5,70,9.75,25,4.0,3,3.25,3
2015-06-14,350.75,226,275.75,117,51.125,77,10.375,6,4.0,4,3.375,4
2015-06-15,316.0,207,223.125,58,65.0,112,12.25,17,4.125,4,3.625,4
2015-06-16,174.875,137,83.625,16,62.125,76,12.25,20,3.75,4,3.5,4
2015-06-17,183.125,76,89.5,47,61.125,1,12.25,0,3.875,3,3.625,3
2015-06-18,159.125,80,67.125,49,59.625,23,12.25,2,3.875,4,3.75,4
2015-06-19,146.375,109,57.25,1,54.0,60,11.25,0,3.75,3,3.625,3
2015-06-20,146.5,66,60.25,52,53.75,11,8.75,0,3.25,1,3.25,1
2015-06-22,115.75,25,42.5,0,47.375,19,6.0,3,3.0,1,3.0,1
2015-06-23,115.0,220,50.125,178,38.75,8,7.375,17,3.0,4,3.0,4
2015-06-24,89.875,6,42.875,0,25.0,2,5.5,2,2.625,1,2.625,1
2015-06-25,84.875,97,48.0,57,19.875,35,3.375,3,2.375,2,2.375,2
2015-06-26,75.5,1,42.25,1,19.75,0,3.375,0,2.125,1,2.125,1
2015-06-27,69.375,31,37.0,7,19.25,19,3.5,3,1.875,2,1.875,2
2015-06-28,87.625,255,53.375,132,19.75,64,8.25,38,1.75,2,1.75,2
2015-06-29,84.875,44,48.375,12,21.75,27,9.0,6,2.0,3,2.0,3
2015-06-30,90.25,68,48.625,2,25.5,49,9.125,4,2.25,3,2.25,3
2015-07-01,66.75,32,27.25,7,26.875,19,7.25,2,1.875,1,1.875,1
2015-07-02,84.75,150,30.25,24,40.625,112,7.375,3,2.25,4,2.25,4
2015-07-03,73.75,9,23.125,0,37.125,7,7.0,0,2.125,1,2.125,1
2015-07-04,73.875,2,23.0,0,37.125,0,7.25,2,2.125,1,2.125,1
2015-07-05,73.0,24,24.5,19,34.875,1,7.125,2,2.0,1,2.0,1
2015-07-06,45.25,33,9.125,9,27.875,8,3.125,6,2.0,2,2.0,2
2015-07-08,41.0,10,7.625,0,25.375,7,2.375,0,1.875,2,1.875,2
2015-07-09,54.25,174,14.5,57,30.5,90,4.25,19,2.0,4,1.875,3
2015-07-10,73.75,188,33.5,159,30.0,15,4.25,2,2.125,2,2.0,2
2015-07-11,61.625,53,34.5,32,17.75,14,5.0,9,1.875,2,1.75,2
2015-07-12,62.75,18,34.625,1,18.25,11,5.5,4,1.875,1,1.75,1
2015-07-13,95.0,260,47.75,105,29.75,92,5.5,2,2.25,4,2.0,3
2015-07-14,142.25,402,76.5,249,39.25,77,5.375,1,2.75,5,2.375,4
2015-07-15,186.25,385,112.125,294,40.375,17,5.375,6,3.0,4,2.5,3
2015-07-16,228.25,346,146.0,271,42.625,25,6.75,11,3.375,5,2.75,4
2015-07-17,256.0,396,187.0,385,31.875,4,4.75,3,3.375,4,2.875,4
2015-07-18,232.625,1,167.125,0,30.125,1,4.5,0,3.25,1,2.75,1
2015-07-19,373.25,1178,306.125,1144,31.875,28,3.75,3,3.375,3,2.875,3
2015-07-20,391.0,160,320.5,116,33.5,24,4.75,12,3.75,4,3.25,4
2015-07-21,403.125,357,342.25,279,24.125,17,6.125,13,4.0,6,3.375,4
2015-07-22,436.875,672,384.375,586,17.0,20,7.125,9,4.125,6,3.375,4
2015-07-23,487.125,787,424.375,614,24.375,76,8.5,17,4.625,8,3.875,7
2015-07-24,458.875,120,402.5,96,22.5,10,7.75,5,4.625,5,3.875,4
2015-07-25,431.125,174,368.625,114,23.875,15,8.875,12,4.375,2,3.625,2
2015-07-26,445.125,113,379.375,86,25.375,13,9.625,6,5.0,6,4.25,6
2015-07-27,310.25,99,244.75,67,22.0,1,9.875,5,5.125,4,4.25,3
2015-07-28,376.75,692,311.0,646,21.875,23,9.125,6,5.25,5,4.125,3
2015-07-29,367.875,286,291.0,119,21.25,12,8.0,4,5.5,8,4.375,6
2015-07-30,304.125,162,232.875,121,19.125,3,7.0,1,5.25,4,4.25,3
2015-07-31,207.625,15,157.875,14,9.625,0,5.0,1,4.5,2,3.625,2
2015-08-01,195.25,21,146.25,3,10.375,16,4.5,1,4.125,2,3.375,2
2015-08-02,173.75,2,132.0,0,8.5,0,3.25,2,4.0,1,3.25,1
2015-08-03,242.875,666,196.125,599,15.0,65,3.375,7,4.375,9,3.25,6
2015-08-04,325.0,756,266.75,632,20.375,44,3.625,7,4.75,7,3.625,6
2015-08-05,332.0,748,275.75,718,28.0,84,3.5,5,5.25,9,4.125,7
2015-08-06,415.5,954,369.5,869,30.375,31,4.75,14,4.875,5,3.875,4
2015-08-07,501.25,848,455.0,805,34.5,36,4.875,2,5.0,5,4.0,4
2015-08-08,510.625,90,458.875,45,38.125,29,5.75,8,5.125,3,4.125,3
2015-08-09,603.375,763,533.125,597,52.0,127,8.5,23,5.25,3,4.25,3
2015-08-10,618.125,120,546.375,106,53.375,11,8.25,0,5.375,2,4.375,2
2015-08-11,616.625,654,549.625,625,46.0,6,7.875,4,4.875,5,4.25,5
2015-08-12,685.625,1308,623.125,1220,47.875,59,7.625,5,4.625,5,4.125,5
2015-08-13,650.125,464,583.875,404,42.0,37,7.0,0,4.0,4,3.625,3
2015-08-14,634.125,826,533.125,463,42.625,36,5.5,2,3.875,4,3.5,3
2015-08-15,537.0,71,432.5,0,43.0,39,6.75,12,3.375,1,3.125,1
2015-08-16,529.875,33,426.875,0,42.875,28,6.25,4,3.125,1,2.875,1
2015-08-17,441.5,56,352.875,5,28.25,10,4.5,9,3.375,5,3.0,4
2015-08-18,475.375,391,373.125,268,31.375,36,6.5,16,4.0,7,3.375,5
2015-08-19,452.375,470,329.0,272,48.625,144,7.0,8,4.25,7,3.5,6
2015-08-20,309.625,166,189.25,102,44.5,26,7.125,6,4.125,4,3.25,3
2015-08-21,275.375,190,145.0,50,52.375,100,9.0,15,4.0,3,3.25,3
2015-08-22,221.5,395,124.125,296,55.5,61,10.0,10,3.875,3,3.25,3
2015-08-23,218.25,45,124.125,0,55.25,37,9.0,4,4.0,2,3.375,2
2015-08-24,239.25,201,139.0,119,56.625,39,8.75,2,4.375,4,3.625,3
2015-08-25,255.625,187,153.125,118,59.5,33,8.375,6,4.25,4,3.5,3
2015-08-26,222.125,123,127.625,64,57.25,18,7.125,6,3.75,3,3.125,2
2015-08-27,187.375,192,110.375,134,42.25,24,6.375,2,3.375,4,2.75,3
2015-08-28,240.375,590,117.75,161,68.75,238,6.625,8,3.625,6,3.0,5
2015-08-29,251.125,276,134.75,186,56.25,0,4.75,0,3.375,1,2.75,1
2015-08-30,249.625,383,105.875,65,79.0,243,5.125,13,3.5,4,2.875,4
2015-08-31,357.125,905,187.25,651,97.875,188,8.875,34,3.875,5,3.25,5
2015-09-01,349.125,137,172.625,2,106.0,104,9.25,5,3.625,2,3.125,2
2015-09-02,346.5,166,157.875,0,121.375,156,8.75,2,3.375,2,3.0,2
2015-09-03,380.0,391,167.0,137,145.125,208,9.125,9,3.875,7,3.5,6
2015-09-04,478.5,980,218.625,547,187.25,361,10.0,9,4.0,5,3.75,5
2015-09-05,507.875,825,256.75,466,195.625,305,9.0,0,3.625,3,3.5,3
2015-09-06,527.625,434,246.125,101,228.125,260,9.375,3,3.75,2,3.625,2
2015-09-07,501.5,174,259.25,170,197.75,0,8.0,2,3.625,3,3.5,3
2015-09-08,470.25,655,236.0,465,193.125,151,4.25,4,3.875,7,3.625,6
2015-09-09,633.875,1446,366.75,1048,207.75,221,5.25,13,4.625,8,4.125,6
2015-09-10,712.125,792,434.875,545,191.125,23,5.75,6,5.375,8,4.875,8
2015-09-11,704.875,333,449.75,256,171.25,49,4.625,0,5.125,5,4.75,5
2015-09-12,610.25,223,402.5,169,129.0,23,4.125,5,5.125,5,4.75,5
2015-09-13,526.125,152,350.0,46,98.125,58,6.0,15,5.125,3,4.75,3
2015-09-14,490.25,147,347.25,79,68.25,21,6.5,7,5.875,8,5.375,7
2015-09-15,514.375,367,348.25,178,80.625,99,7.375,9,6.375,7,5.75,6
2015-09-16,597.125,1317,380.125,720,89.5,222,13.25,51,6.625,9,5.75,6
2015-09-17,472.875,452,259.5,83,93.125,250,15.125,28,6.125,4,5.375,3
2015-09-18,393.625,158,196.375,40,98.0,62,14.625,2,5.75,5,5.0,5
2015-09-19,455.125,825,232.875,548,113.625,174,16.5,15,5.75,5,5.0,5
2015-09-20,480.875,429,254.5,342,118.875,65,16.75,7,5.625,4,4.875,4
2015-09-21,557.25,763,299.375,405,144.875,266,17.0,17,5.75,4,5.0,4
2015-09-22,714.25,1403,418.125,1029,176.875,277,16.875,6,5.375,5,4.625,4
2015-09-23,772.25,831,475.5,637,182.5,144,16.625,7,5.25,6,4.5,5
2015-09-24,702.625,760,475.625,721,157.625,23,10.25,0,4.625,4,4.25,4
2015-09-25,670.625,196,476.375,89,132.625,50,7.0,2,4.875,6,4.375,4
2015-09-26,721.5,565,529.75,467,132.625,62,8.25,12,5.0,6,4.5,6
2015-09-27,645.5,217,485.125,191,113.75,23,6.375,0,4.625,2,4.125,2
2015-09-28,659.625,542,487.0,357,108.75,25,7.5,16,4.75,5,4.25,5
2015-09-29,596.75,260,463.5,217,78.5,24,6.0,5,4.875,5,4.25,4
2015-09-30,482.875,492,392.5,461,46.875,24,6.0,6,4.75,4,4.125,3
2015-10-01,530.25,1210,437.125,994,53.75,199,5.75,5,4.75,6,4.25,6
2015-10-02,537.875,821,426.0,632,67.75,135,6.5,6,4.75,4,4.125,3
2015-10-03,561.0,381,453.375,308,67.375,47,6.625,3,4.5,4,4.125,4
2015-10-04,564.875,596,453.125,465,71.5,95,6.5,11,4.25,4,3.875,4
2015-10-05,693.75,1248,567.25,1104,86.0,139,6.625,1,4.625,5,4.25,5
2015-10-06,829.5,1628,716.75,1553,90.75,63,5.0,3,4.875,7,4.25,5
2015-10-07,845.0,384,734.625,360,89.0,10,4.375,0,4.75,4,4.125,3
2015-10-08,828.5,360,708.125,249,93.25,58,6.25,21,5.375,9,4.875,9
2015-10-09,720.5,346,616.375,260,77.125,70,6.0,3,5.5,7,4.75,5
2015-10-10,630.875,104,544.875,60,65.125,39,5.375,1,5.375,3,4.75,3
2015-10-11,591.75,68,513.875,60,59.375,1,5.5,4,5.25,3,4.625,3
2015-10-12,546.625,235,484.0,226,47.875,3,4.125,0,5.125,3,4.5,3
2015-10-13,435.25,357,382.5,292,34.625,33,4.25,2,5.0,4,4.375,4
2015-10-14,292.625,487,242.75,435,31.875,41,4.0,1,4.625,4,4.125,3
2015-10-15,267.0,179,208.75,88,31.375,6,5.5,12,4.625,4,4.25,4
2015-10-16,358.875,1095,298.5,967,37.0,103,3.125,2,4.125,5,3.625,4
2015-10-17,367.625,416,307.75,334,28.5,2,3.375,5,3.625,3,3.375,3
2015-10-18,369.625,120,305.125,39,25.625,16,3.75,4,3.5,2,3.25,2
2015-10-19,462.0,807,387.375,718,30.875,43,5.625,19,3.5,3,3.125,2
2015-10-20,490.75,465,389.25,241,40.125,77,11.625,48,4.0,7,3.375,5
2015-10-21,549.0,823,422.5,558,54.625,149,15.625,34,4.75,10,3.875,8
2015-10-22,591.625,828,434.5,531,79.375,239,17.125,13,5.125,7,4.25,6
2015-10-23,761.0,1534,528.125,837,127.75,393,18.125,20,5.875,10,4.75,8
2015-10-24,719.75,765,465.625,467,134.0,153,21.0,25,6.0,6,4.875,5
2015-10-25,684.75,136,427.625,30,146.875,105,20.375,0,6.125,4,5.0,4
2015-10-26,764.25,756,490.375,541,170.5,205,20.25,3,6.75,7,5.5,6
2015-10-27,736.875,588,432.375,254,195.25,241,18.375,4,7.25,7,6.0,6
2015-10-28,751.75,584,453.375,409,195.125,76,14.75,19,7.5,9,6.125,6
2015-10-29,702.375,428,396.625,104,192.125,125,11.875,11,7.375,9,6.125,8
2015-10-30,624.75,207,333.75,28,179.25,136,10.375,1,7.25,6,5.875,4
2015-10-31,487.125,433,252.25,185,146.125,128,12.625,38,6.625,5,5.5,5
2015-11-01,398.375,55,194.75,7,131.125,33,10.75,10,6.25,3,5.25,3
2015-11-02,387.625,50,192.0,8,121.0,24,11.25,4,6.375,5,5.375,5
2015-11-03,327.625,276,141.625,138,102.5,57,13.125,18,6.375,7,5.25,5
2015-11-04,329.625,604,152.5,341,91.0,149,14.0,11,6.5,8,5.125,5
2015-11-05,301.0,355,120.625,154,85.5,32,11.875,2,6.25,7,5.125,6
2015-11-06,390.375,1143,237.625,1040,77.625,62,11.25,6,7.125,16,4.875,6
2015-11-07,466.625,817,320.125,688,67.875,58,11.75,5,8.0,13,5.25,7
2015-11-08,419.25,54,297.75,6,53.5,13,7.25,2,7.75,3,4.875,2
2015-11-09,445.375,264,309.0,97,63.125,110,6.875,7,7.875,4,5.0,4
2015-11-10,503.75,517,349.125,329,72.25,97,7.375,8,7.875,5,5.0,5
2015-11-11,508.5,314,354.25,179,71.75,53,6.625,12,8.125,9,5.375,8
2015-11-12,510.125,617,348.375,294,81.0,223,6.375,9,8.625,12,5.875,9
2015-11-13,592.75,1016,419.0,719,103.0,208,8.25,17,9.0,10,6.25,9
2015-11-14,533.5,669,345.0,448,113.25,144,9.0,12,7.75,6,6.125,5
2015-11-15,483.75,419,293.75,278,120.625,117,9.25,7,6.75,5,5.875,5
2015-11-16,710.75,1870,460.0,1336,154.25,282,12.25,26,7.5,9,6.375,6
2015-11-17,859.125,1451,579.125,1050,166.125,205,19.875,68,8.75,14,7.375,12
2015-11-18,893.375,791,610.125,577,164.125,81,20.25,11,9.75,13,8.0,10
2015-11-19,1066.125,1696,735.5,1182,183.875,211,23.875,41,10.375,14,8.125,9
2015-11-20,1221.75,1862,884.625,1487,181.5,204,25.875,25,10.875,16,8.125,9
2015-11-21,1212.75,944,882.125,699,175.5,160,26.5,22,10.75,9,7.875,7
2015-11-22,1196.5,539,878.5,419,168.25,86,25.5,4,10.75,6,8.0,6
2015-11-23,1318.625,1396,988.875,1161,160.5,55,26.625,16,11.25,9,8.0,5
2015-11-24,1246.125,1290,953.0,1049,142.625,139,24.125,6,11.375,10,8.0,6
